1,Rohan,Chapman-Davies,AUS
2,Matt,Graham,AUS
3,Brodie,Summers,AUS
4,James,Matheson,AUS
5,Madii,Himbury,AUS
6,Jakara,Anthony,AUS
7,Britteny,Cox,AUS
8,Claudia,Gueli,AUS
9,Alexander,Ferlazzo,AUS
10,David,Morris,AUS
11,Lydia,Lassila,AUS
12,Laura,Peel,AUS
13,Danielle,Scott,AUS
14,Samantha,Wells,AUS
15,Scotty,James,AUS
16,Kent,Callister,AUS
17,Nathan,Johnstone,AUS
18,Emily,Arthur,AUS
19,Holly,Crawford,AUS
20,Russ,Henshaw,AUS
21,Daniel,Greig,AUS
22,Lewis,Irving,CAN
23,Olivier,Rochon,CAN
24,Catrine,Lavallee,CAN
25,Marc-Antoine,Gagnon,CAN
26,Mikael,Kingsbury,CAN
27,Philippe,Marquis,CAN
28,Chloe,Dufour-Lapointe,CAN
29,Justine,Dufour-Lapointe,CAN
30,Andi,Naude,CAN
31,Audrey,Robichaud,CAN
32,Sam,Edney,CAN
33,Reid,Watts,CAN
34,Mitchel,Malyk,CAN
35,Alex,Gough,CAN
36,Kimberley,McRae,CAN
37,Brooke,Apshkrum,CAN
38,Derek,Livingstone,CAN
39,Elizabeth,Hocking,CAN
40,Calynn,Irwin,CAN
41,Mercedes,Nicoll,CAN
42,Max,Parrot,CAN
43,Mark,McMorris,CAN
44,Tyler,Nicholson,CAN
45,Sebastien,Toutant,CAN
46,Laurie,Blouin,CAN
47,Brooke,Voigt,CAN
48,Spencer,O'Brien,CAN
49,Gilmore,Junio,CAN
50,Laruent,Dubreuil,CAN
51,Alex,Boisvert-Lacroix,CAN
52,Alexandre,St-Jean,CAN
53,Vincent,De Haitre,CAN
54,Ted-Jan,Bloemen,CAN
55,Kim,Boutin,CAN
56,Jamie,MacDonald,CAN
57,Kaylin,Irvine,CAN
58,Heather,McLean,CAN
59,Natalie,Geisenberger,GER
60,Sven,Kramer,NED
61,Sverre Lunde,Pedersen,NOR
62,Choi,Minjeong,KOR
63,Arianna,Fontana,ITA
64,Yara,van Kerkhof,NED
65,Elise,Christie,GBR
66,Redmond,Gerard,USA
67,Shaun,White,USA
68,Ayumu,Hirano,JPN
69,Chloe,Kim,USA
70,Jiayu,Liu,CHN
71,Arielle,Gold,USA
72,Chris,Mazdzer,USA
73,David,Gleirscher,AUT
74,Johannes,Ludwig,GER
75,Dajana,Eitberger,GER
76,Perrine,Laffont,FRA
77,Yulia,Galysheva,KAZ
78,Daichi,Hara,JPN
79,Jamie,Anderson,USA
80,Enni,Rukajarvi,FIN
81,Jorien,Ter Mors,NED
82,Nao,Kodaira,JPN
83,Miho,Takagi,JPN
84,Brittany,Bowe,USA
