Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
0 | 3 | -6 | 2e-06 | -0.0269727 | 500000
0 | 3 | -5 | 2e-05 | -0.0269547 | 50000
0 | 3 | -4 | 0.000199997 | -0.0267747 | 5000.07
0 | 3 | -3 | 0.00199713 | -0.0249776 | 500.72
0 | 3 | -2 | 0.0174591 | -0.00951556 | 57.2766
0 | 3 | -1 | 0.0269747 | 2.18724e-08 | 37.0717
0 | 3 | 0 | 0.0269747 | 2.18724e-08 | 37.0717
0 | 3 | 1 | 0.0269154 | -5.9263e-05 | 37.1534
0 | 3 | 2 | 0.0666667 | 0.039692 | 15
0 | 3 | 3 | 0.666667 | 0.639692 | 1.5
0 | 3 | 4 | 6.66667 | 6.63969 | 0.15
0 | 3 | 5 | 66.6667 | 66.6397 | 0.015
0 | 3 | 6 | 666.667 | 666.64 | 0.0015
0 | 3 | 7 | 6666.67 | 6666.64 | 0.00015
0 | 3 | 8 | 66666.7 | 66666.6 | 1.5e-05
0 | 3 | 9 | 666667 | 666667 | 1.5e-06
0 | 3 | 10 | 6.66667e+06 | 6.66667e+06 | 1.5e-07
0 | 4 | -6 | 2e-06 | -0.0269727 | 500000
0 | 4 | -5 | 2e-05 | -0.0269547 | 50000
0 | 4 | -4 | 0.000199997 | -0.0267747 | 5000.07
0 | 4 | -3 | 0.00199713 | -0.0249776 | 500.72
0 | 4 | -2 | 0.0174591 | -0.00951556 | 57.2766
0 | 4 | -1 | 0.0269747 | 2.18724e-08 | 37.0717
0 | 4 | 0 | 0.0269747 | 2.18724e-08 | 37.0717
0 | 4 | 1 | 0.0269747 | 2.18724e-08 | 37.0717
0 | 4 | 2 | 0.0269154 | -5.9263e-05 | 37.1534
0 | 4 | 3 | 0.0666667 | 0.039692 | 15
0 | 4 | 4 | 0.666667 | 0.639692 | 1.5
0 | 4 | 5 | 6.66667 | 6.63969 | 0.15
0 | 4 | 6 | 66.6667 | 66.6397 | 0.015
0 | 4 | 7 | 666.667 | 666.64 | 0.0015
