"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","PPMRScale","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",NA,181740759.473545,0.0793669714943445,2.25268131552819,0.0119050457241517
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",NA,1018517.00975296,0.00675992849640355,2.07598718601125,0.00101398927446053
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.8,NA,1e+06,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",0,16453.590260871,0.26037788500865,2.0366080512701,0.00520755770017299
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.8,NA,1e+06,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",0,102786.916647356,0.978949274133466,2.02913968483829,0.117473912896016
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.8,NA,1e+06,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",0,13895.4400705675,0.00195071932502589,3.25238326196175,0.000234086319003107
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.8,NA,1e+06,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",0,744.50013356861,0.139945799900502,2.10136753048261,0.0167934959880602
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.8,NA,1e+06,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",0,473.506240091915,0.000596140977558704,3.25238328528308,2.38456391023482e-05
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.8,NA,1e+06,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",0,259.008991772364,0.0272143061826112,2.08976427938097,0.000544286123652223
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.8,NA,1e+06,0.52,2.5,0.005,0,0,0,2,"orange",0,0.138406975300333,0.000187876466251139,3.23860061628733,9.39382331255696e-07
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",0,8.65932663037581,0.220595078726347,3.30207569069644,0.0220595078726347
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",0,8.66093686845186,0.373467069866591,3.42610916682656,0.0373467069866591
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",0,8.6610947070301,0.730283284803614,3.53336386997295,0.0730283284803614
