"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",316810204.38004,0.122414722909655,2.29283964087381,0.0183622084364482
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2097851.58515631,0.00454162712201672,2.07158508066907,0.000681244068302508
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2668.86669916213,0.0286257338047,2,0.000572514676093999
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",39060.7541812102,0.150503291271606,2.38544670094948,0.0180603949525927
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",49287.7402971697,0.0599085187682697,3.49508375990944,0.00718902225219236
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",178.249298417864,0.0957316850072652,2.29946578879968,0.0114878022008718
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",632.878534293723,0.0119339380777071,3.48911937248911,0.000477357523108283
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",79.4147476749349,0.0178551189462999,2.00087379566129,0.000357102378925999
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.259307651669552,0.00110822627523371,3.50395016377947,5.54113137616855e-06
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",7.77033880913121,0.206290063932774,3.65579099355337,0.0206290063932774
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",7.78476626771195,0.280937020025868,3.77062658406939,0.0280937020025868
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",7.78484858455918,0.759260564180237,3.99641151588986,0.0759260564180237
