"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",325562697.416152,0.154423149063652,2.38414346907603,0.0231634723595478
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2456879.33696575,0.00594096382103397,2.08594810351115,0.000891144573155095
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.8,NA,3,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2998.30056462538,0.00562951022539104,4.4466333864192,0.000112590204507821
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.8,NA,3,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",45137.3304883991,0.0225677869922332,4.01922447495871,0.00270813443906799
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.8,NA,3,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",52992.0163416616,0.0213349407748362,3.97542434947934,0.00256019289298035
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.8,NA,3,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",4.01778369216128,0.000523141059959327,5.34259095859277,6.27769271951192e-05
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.8,NA,3,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",870.23296156657,0.00488675430615856,5.08285110763224,0.000195470172246342
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.8,NA,3,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",3.40808284646989,0.00030889288802214,5.45726247821576,6.1778577604428e-06
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.8,NA,3,0.52,2.5,0.005,0,0,0,2,"orange",0.00229706407281139,0.000240842182327101,6.74629219277835,1.20421091163551e-06
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",0.580267062003125,0.0104475822033244,5.59778270931919,0.00104475822033244
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",0.580485319570546,0.0122351418465724,5.70421386747384,0.00122351418465724
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",0.580521594854232,0.0575313305681244,5.93403006645536,0.00575313305681244
