"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,480,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",316593982.241188,0.1244267303319,2.30230140551309,0.018664009549785
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,480,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2169379.57861133,0.00496610342685539,2.0774527797483,0.000744915514028308
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,480,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2525.8006726648,0.0217462855879817,2,0.000434925711759634
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,480,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",41079.2228014024,0.115749332736127,2.37073295735501,0.0138899199283352
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,480,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",54910.0455148669,0.0754193511676196,3.51968916514986,0.00905032214011436
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,480,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",128.512204812728,0.0798987548845998,2.31095874796993,0.00958785058615197
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,480,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",613.621379958657,0.00979902580552866,3.4776158038991,0.000391961032221146
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,480,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",87.8919126785892,0.0210094079488478,2.00087906858226,0.000420188158976956
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,480,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.173736016582541,0.00233479619952983,3.45752993417435,1.16739809976492e-05
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,480,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",5.95069527876497,0.134877557533525,3.64121757875289,0.0134877557533525
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,480,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",5.95389960373184,0.174794185348154,3.75821032119016,0.0174794185348154
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,480,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",5.95402733888057,0.481343384131187,3.94146686088471,0.0481343384131187
