"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,800,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",314302384.683879,0.10924369265475,2.25675167467095,0.0163865538982125
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,800,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2007262.02289602,0.0040864295048217,2.06361621596016,0.000612964425723255
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,800,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2939.26775448073,0.043562299910016,2,0.00087124599820032
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,800,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",35127.2249896521,0.221744648984559,2.37769184156443,0.0266093578781471
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,800,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",36735.6349149936,0.035226384174443,3.43098595622019,0.00422716610093316
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,800,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",255.688826246222,0.14228687653147,2.28316477316438,0.0170744251837764
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,800,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",636.323009909764,0.013458713813827,3.45276637667864,0.000538348552553082
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,800,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",65.925924350123,0.0189072924723214,2.00084955626389,0.000378145849446429
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,800,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.360760889828257,0.00147124258532361,3.44535028918818,7.35621292661803e-06
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",10.0239387978935,0.274141740618366,3.60385022445413,0.0274141740618366
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",10.0422722174835,0.385456293138783,3.73368034771896,0.0385456293138783
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",10.0423471467332,0.905691348788906,3.95185140233794,0.0905691348788907
