"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.9,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",284845500.882156,0.0732397449650104,2.22310235527001,0.0109859617447516
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.9,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",1767246.95157684,0.00425401314612595,2.08408483680013,0.000638101971918893
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.9,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",1425.48527774791,0.0100776940650182,2,0.000201553881300364
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.9,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",32547.9678170018,0.0515690952014639,2.26780118185206,0.00618829142417566
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.9,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",32040.5561725639,0.0256077728943062,3.3220162215043,0.00307293274731675
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.9,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",20.7104973497964,0.0046745472609259,2.22533064138612,0.000560945671311108
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.9,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",936.95993045197,0.0126511176899668,3.36322201752446,0.000506044707598674
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.9,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",25.9067427617414,0.0196017819309849,2.00080340660558,0.000392035638619698
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.9,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.0393954249315064,0.0121155899027486,3.25695250436658,6.05779495137431e-05
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.9,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",1.71073183015559,0.0653763219395476,3.59551372655836,0.00653763219395477
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.9,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",1.71086513982283,0.0696741907899434,3.70104744752487,0.00696741907899434
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.9,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",1.71087649105481,0.1297189472098,3.84985686413982,0.01297189472098
