"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",234413090.818541,0.0858131905842079,2.30994229003231,0.0128719785876312
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",1725998.88639162,0.00499983835307921,2.10020791948563,0.000749975752961881
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2688.43206082292,0.0321324639212012,2,0.000642649278424023
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",31580.9213477837,0.0810466778194728,2.39550071422288,0.00972560133833674
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",39080.2055388705,0.050126092563134,3.50359526357107,0.00601513110757607
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",91.9540884701561,0.0582495852326679,2.33921621092474,0.00698995022792015
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",516.289699478872,0.00711494549460676,3.46333117596191,0.00028459781978427
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",60.4128312937116,0.0196940026231475,2.00083903240855,0.00039388005246295
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.14912251645483,0.00204383305251807,3.44677782671351,1.02191652625904e-05
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",4.86613940939092,0.0936381096870127,3.6002908710848,0.00936381096870127
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",4.86869376524082,0.12352204443144,3.71467507422565,0.012352204443144
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",4.86878678569602,0.335685418246229,3.88409330867719,0.0335685418246229
