Node,X,Y,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0,193,164,27,26,24,28,25,12,6,25,25,27,23,25,12,7
1,8,51,77,67,74,80,80,35,25,80,69,78,73,78,34,31
2,140,160,46,45,50,48,47,19,10,46,38,48,49,48,21,20
3,121,47,28,35,39,34,39,22,11,37,38,29,37,41,19,14
4,119,98,28,31,27,26,28,17,12,34,33,29,36,29,15,11
5,99,139,37,33,31,36,36,13,12,34,38,33,37,33,14,22
6,185,5,44,38,40,42,38,23,14,40,39,40,37,39,26,12
7,25,61,41,38,39,40,34,19,13,40,34,36,40,37,20,16
8,100,13,67,66,71,77,70,31,32,73,67,67,70,75,36,25
9,20,119,54,49,57,49,55,24,24,58,54,55,57,53,25,17
10,116,107,73,75,69,79,74,32,20,76,76,66,68,56,29,29
11,10,108,68,78,70,65,58,36,20,75,69,71,73,80,37,29
12,154,90,63,58,61,62,66,33,20,54,67,76,58,73,38,28
13,40,127,51,45,55,44,51,25,21,51,51,52,48,50,21,22
14,117,144,90,78,68,75,88,37,23,99,100,82,83,91,36,44
15,95,68,76,67,76,74,76,38,22,88,74,79,59,79,28,27
16,191,142,32,34,35,37,37,19,6,34,37,39,33,33,19,10
17,137,12,100,74,98,93,93,43,37,99,98,87,94,92,52,19
18,87,159,27,33,37,30,40,18,14,33,32,33,34,35,21,16
19,91,183,45,43,47,46,53,21,19,49,44,41,43,40,24,13
20,75,52,82,72,81,96,88,51,34,92,84,87,74,91,36,40
21,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,159,141,58,46,51,54,61,22,15,44,53,51,54,52,25,24
23,145,34,36,35,31,32,34,22,10,32,38,42,36,34,19,15
24,66,120,77,83,74,64,81,33,25,73,71,85,83,82,32,20
25,139,195,59,37,58,51,51,26,11,52,49,51,53,55,25,17
26,181,77,34,31,33,30,36,16,11,31,36,39,34,37,17,11
27,54,188,40,39,39,44,29,23,16,33,39,37,33,43,23,12
28,24,190,31,33,33,31,28,12,6,32,31,32,29,33,13,10
29,157,104,33,35,33,30,36,15,15,32,30,32,38,34,13,12
30,51,117,58,58,56,57,57,32,22,54,54,55,58,59,27,21
31,106,109,38,32,34,47,40,22,15,38,35,31,36,42,25,11
32,54,147,45,44,47,43,48,24,19,43,48,41,50,47,27,14
33,134,27,87,81,83,84,75,41,32,87,85,92,87,78,40,16
34,56,173,32,31,25,32,36,15,13,28,29,32,31,28,18,7
35,154,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,103,83,33,44,36,41,43,14,12,35,36,35,28,38,17,10
37,141,145,58,56,57,54,61,30,21,67,67,60,55,58,34,22
38,164,70,64,69,63,70,62,37,26,64,76,68,61,70,28,27
39,152,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,36,161,38,52,48,50,52,29,17,53,52,44,48,46,29,12
41,180,54,68,63,74,73,69,30,24,76,69,66,82,75,39,34
42,52,66,38,38,46,42,37,20,13,42,47,46,43,43,23,9
43,50,129,40,49,38,44,36,22,17,45,41,44,37,43,19,17
44,147,189,35,37,38,29,36,20,14,37,38,29,36,36,20,12
45,33,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,78,32,39,33,41,39,41,16,14,39,39,38,40,41,21,8
47,74,89,31,29,26,29,32,14,6,26,30,28,31,27,9,11
48,14,83,32,34,35,30,36,16,15,34,34,34,36,31,15,12
49,143,59,85,75,63,77,77,45,41,66,78,71,75,71,28,31
