Node,X,Y,Demand
0,56,107,40
1,54,76,26
2,185,55,37
3,7,112,25
4,102,123,52
5,146,10,53
6,67,45,40
7,57,87,35
8,90,131,59
9,115,166,69
10,28,149,62
11,59,138,74
12,161,73,22
13,71,151,34
14,15,152,36
15,25,66,46
16,50,13,56
17,124,195,62
18,153,122,32
19,97,140,64
20,40,159,0
21,114,156,66
22,13,79,38
23,194,87,63
24,83,93,65
25,130,74,53
26,119,188,29
27,173,42,0
28,141,162,38
29,41,33,23
30,100,7,67
31,114,85,26
32,141,149,31
33,22,76,32
34,105,28,66
35,39,119,54
36,27,36,0
37,173,155,32
38,104,80,38
39,95,111,73
40,45,48,54
41,175,103,61
42,160,184,75
43,81,119,28
44,93,170,67
45,178,175,0
46,164,33,33
47,147,143,78
48,189,148,79
49,152,133,37
