Node,X,Y,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0,56,107,48,52,49,56,48,27,17,43,57,54,42,55,31,16
1,54,76,33,30,32,34,29,13,12,31,29,34,33,32,21,4
2,185,55,48,46,44,47,43,26,15,36,44,47,43,40,25,16
3,7,112,28,30,31,28,31,15,10,29,30,34,28,29,14,6
4,102,123,64,59,53,50,66,29,22,57,56,58,69,71,30,12
5,146,10,70,65,62,67,59,34,17,61,61,62,62,61,23,29
6,67,45,50,48,48,46,45,20,17,50,46,45,49,43,23,17
7,57,87,45,42,45,44,43,21,15,36,32,41,41,38,24,5
8,90,131,81,67,73,79,64,35,23,67,79,66,69,69,31,22
9,115,166,78,91,78,85,86,36,29,73,74,73,83,89,38,33
10,28,149,82,79,77,75,74,41,20,76,68,72,79,64,32,19
11,59,138,97,92,92,86,77,52,43,98,87,77,89,88,37,37
12,161,73,28,22,25,26,27,20,4,21,21,28,27,29,17,8
13,71,151,41,47,39,37,40,22,13,42,40,39,41,39,20,16
14,15,152,35,44,46,42,39,23,11,39,49,52,48,47,20,13
15,25,66,49,41,58,56,51,23,18,60,52,50,61,51,23,16
16,50,13,63,67,63,71,63,24,20,69,65,61,71,75,26,19
17,124,195,71,73,69,68,71,35,28,64,70,72,73,71,28,19
18,153,122,38,43,44,36,40,18,15,41,37,37,41,39,18,13
19,97,140,70,79,89,65,77,29,26,62,84,77,74,76,37,26
20,40,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,114,156,80,75,86,75,74,44,23,75,81,81,72,77,34,24
22,13,79,46,44,48,48,43,20,9,53,43,53,50,46,28,16
23,194,87,76,71,76,69,86,34,36,74,84,83,66,72,29,33
24,83,93,69,73,70,79,82,54,12,77,84,83,79,73,46,22
25,130,74,56,61,63,67,60,28,19,59,54,66,63,68,34,28
26,119,188,32,31,41,35,35,22,11,40,31,36,40,30,17,7
27,173,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,141,162,44,48,44,44,45,23,12,44,40,47,48,40,23,9
29,41,33,31,26,25,27,30,13,8,23,25,26,29,31,14,9
30,100,7,93,84,75,82,90,48,33,77,68,81,67,81,38,24
31,114,85,30,32,36,35,29,15,8,35,27,28,33,32,18,9
32,141,149,34,36,40,34,43,17,13,29,41,34,38,35,20,15
33,22,76,41,35,36,42,36,22,15,39,37,32,40,35,22,10
34,105,28,67,79,77,73,81,44,32,74,78,73,91,90,37,17
35,39,119,79,55,63,63,62,26,24,73,65,67,56,62,30,15
36,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,173,155,36,40,34,40,35,11,9,43,40,40,37,38,18,13
38,104,80,44,42,43,44,48,24,16,46,39,43,44,43,25,18
39,95,111,91,85,89,86,88,44,32,95,76,79,88,82,52,23
40,45,48,60,62,69,74,69,24,38,66,57,71,60,65,29,24
41,175,103,69,68,76,71,72,26,20,77,65,70,69,80,28,18
42,160,184,92,88,86,86,91,71,28,81,89,91,95,82,43,43
43,81,119,39,32,33,30,34,12,8,38,35,42,41,36,18,15
44,93,170,69,86,83,69,87,51,29,84,83,85,76,96,45,29
45,178,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,164,33,39,45,38,39,40,18,18,46,38,42,40,37,17,17
47,147,143,96,79,103,76,94,45,29,87,89,88,101,99,43,38
48,189,148,93,103,95,104,96,62,34,99,104,90,96,84,62,25
49,152,133,45,41,45,47,49,25,17,41,41,43,42,52,16,9
