Angle (degrees),Mean (mV),,,Mean (mV),std dev ,Mean (mV) wrt baseline
0,9.54,9.24,10,9.59333333333333,0.382796725865482,6.44333333333333
30,13.9,14,12.6,13.5,0.781024967590666,10.35
60,12.7,12.5,13.4,12.8666666666667,0.472581562625261,9.71666666666667
90,11.3,10.6,11.8,11.2333333333333,0.602771377334171,8.08333333333333
120,5.19,5.37,5.26,5.27333333333333,0.0907377172587746,2.12333333333333
150,4.93,4.87,5.01,4.93666666666667,0.0702376916856848,1.78666666666667
180,11.4,11.9,12,11.7666666666667,0.321455025366432,8.61666666666667
210,14.7,15.2,14.3,14.7333333333333,0.450924975282289,11.5833333333333
240,14.8,14.6,13.9,14.4333333333333,0.472581562625261,11.2833333333333
270,12.6,11.7,11.8,12.0333333333333,0.493288286231625,8.88333333333333
300,4.91,4.55,4.61,4.69,0.192873015219859,1.54
330,4.2,4.44,4.51,4.38333333333333,0.162583311976763,1.23333333333333
,,,,,,
Angle (degrees),Mean (mV) wrt baseline,,,,,
0,6.44333333333333,,,,,
30,10.35,,,,,
60,9.71666666666667,,,,,
90,8.08333333333333,,,,,
120,2.12333333333333,,,,,
150,1.78666666666667,,,,,
180,8.61666666666667,,,,,
210,11.5833333333333,,,,,
240,11.2833333333333,,,,,
270,8.88333333333333,,,,,
300,1.54,,,,,
330,1.23333333333333,,,,,
