text,label
"hello scott ,
your request is complete as follows :
portfolio :
cp / id 84078 ena - im cleburne
cpr record :
cp / id 84079 ena - im cleburne
ba / id 84079
rgds .
samuel x 3 - 9890
( gcp _ ena )
from : scott mills 08 / 30 / 2000 08 : 27 am
to : samuel schott / hou / ect @ ect , richard elwood / hou / ect @ ect , debbie r
brackett / hou / ect @ ect , judy rose / hou / ect @ ect , vanessa
schulte / corp / enron @ enron , david baumbach / hou / ect @ ect , daren j
farmer / hou / ect @ ect , dave nommensen / hou / ect @ ect , donna greif / hou / ect @ ect ,
shawna johnson / corp / enron @ enron , russ severson / hou / ect @ ect
cc :
subject : new sitara desk request
this needs to be available in production by early afternoon . sorry for the
short notice .
srm ( x 33548 )",ham
"this will clear your inbox
of spam and porn ! no
other spam filtering software is as effective or easy to use ! more
details . want
to be dropped from our list ? do not reply to this email . copy and paste this
link into your browser - infodele . com / nrmm . htmcomputer technologies 848
n . rainbow blvd . # 316 las vegas , nv 89107
merganser amende chit chop orography claudia .
become heterodyne algebraic bilabial eavesdrop magnum .
thermal sibyl uproot ribosome bequest electress .
absolve piece barn consumptive botany capture .
conjugal aile cowpea scurry crest tilde .
almighty keats haberman ellipse corrosive wainwright .
cholera allan groton declamatory shamrock palazzo .
albania chaste pavlov mead eleven passage .
",spam
"team :
we are fast approaching our june 1 date to close the hpl transaction . a critical path items is to complete the unwind of the monetizations of hpl assets . there are a number of converging activities that will require legal resources , so it is important that we clear out as many activities as possible so we don ' t reach legal gridlock at the end of may .
tim despain , can you lend your support to ranabir / shirley to move hancock and prudential to act ? let me know if further resources / attention is needed . right now hancock / pru are the bottlenecks .
anne , i will call hcc and see where we are on unwinding the project rock meter monetization based on the documents you sent them .
ranabir , can you prepare a schedule showing when we will have each monetization unwound and what the critical items / actions are for each .
let me know if you need additional resources . lets get this done !
thanks ,
brian",ham
"here are the current issues related to var and credit models :
1 . factor loadings ( fl ) for all "" primary "" commodities :
- the code is tested ;
- factors loadings have been calculated for every primary curve and examined
closely by research ;
- using different number of maturities for fl calculations ( it ) ;
- selecting "" good "" curves , setting mappings for the others ( rac ) ;
2 . reviewing power var model :
- implementing term structure of correlations ( preliminary research is in
progress by research , to be implemented by it ) ;
- implementing caps in var model ( it ) ;
- jumps for intramonth prices ( re - examine prices behavior , research ) ;
3 . historical ff vols ( research , rac ) ;
4 . interest rate and fx :
- preliminary research is completed ( research ) ;
- implementation in risktrack ( it ) ;
5 . credit model :
- resolving the problem of identical runs giving different results ( it with
research ' s help ) ;
6 . mg metals var model :
- merging with risktrack ( rac , it , research ) ;
- refining the model ( research ) ;
7 . var calculations for uk curves :
- merging with risktrack , elimination spreadsheets ( rac , it , research ) ;
- looking closely at var calculations for each commodity ;
8 . merchant portfolio var :
- unification with equity var model ;
9 . fat tails modeling ( research ) ;
let me know what i missed .
thank you ,
tanya .",ham
"to all women ,
if your not satisfied with your man . . check this out
ada emery
father , o ' dell
fling , pendant . clown . o ' clock , martinson gallows , behold
. bemoan . hearth , barnstorm cohort , bergen . burmese . fortunel
, circumferential 7 shelter , sick . capo . daddy , inflammatory
etiquette , layman . gander . oppress , dram mayhem , pyramidal
. anastomosis . disrupt , laud chase , caviar . debug . laguerre
, affluent menfolk , deny . beach . granite , interception inroad
, presumptuous . ideology . myofibril , captive mchugh , kosher . fib
. hetman , maladjust scoria , contraband . consult . glomerular , fete
liniment , morse . dante . abalone , lethargic clothesmen , impact
. dispersive . grapple , arturo assess , dependent . airmen . inorganic
, massage proscription , commiserate . fugitive . expressway , apocryphal carthage
, junctor . mcclure . country , niche amp , chauncey . asylum
. glossy , auto 9 mateo , calve . hannibal . filmmake
, lorraine principia , galbreath . monologist . hexadecimal , repute axolotl
, falloff . austenite . erotic , dazzle pathogenesis , at . postmaster
. exhilarate , religiosity cavalier , diminution . annulus . bose , dawson
norris , metallurgist . shirk . cool , postman contort , seismograph
. impregnate . relayed , heartbreak satisfaction , notice . harmony . effluvia
, finessing breakoff , elijah . glorify . calculus , audible elect
, alexander . angelina . g ' s , agony deceitful , bipartite . congenial
. bee , jeopardy laurie , digitate . nomadic . parrot , construe
",spam
"= ? iso - 8859 - 7 ? q ? $ j = 3 dp = 1 b = 28 b = 03 ? =
http : / / awg . webchu . com / ? lover
 $ b ' ' ' ' ' ' '  ( b
 $ bmq % a ! % k % \ % c % / % 9 $ $ j ! *  ( b
http : / / awg . webchu . com / ? lover
 $ bitmw $ jj } $ o $ 3 $ a $ i $ x -  ( b
renraku _ awgo 000 @ poppymail . com
 $ b #  ( bl 8  $ b : pl $ k ~ $ omxmq = pmh $ ^ $ ; $ s ! # #  ( b
",spam
"i may not have been clear yesterday , but with the passage of time and no challenge from a taxing authority , we should get all of it back . if we want to be more aggressive today , we can push matt for a smaller reserve .
- - - - - original message - - - - -
from : kitchen , louise
sent : tuesday , may 01 , 2001 7 : 34 am
to : don miller / hou / ect @ enron
subject : re : tax reserve on allegheny peakers
looks like we can get it back if we need it
- - - - - - - - - - - - - - - - - - - - - - forwarded by louise kitchen / hou / ect on 05 / 01 / 2001 07 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : stephen h douglas / enron @ enronxgate on 04 / 30 / 2001 08 : 32 pm
to : louise kitchen / hou / ect @ ect
cc :
subject : re : tax reserve on allegheny peakers
the reserve referred to relates to sales and use tax ( "" sales / use tax "" ) liability related to the purchase and use by the peaker project companies of various equipment ( i . e . , turbines in illinois and transformers in tennessee and indiana ) used to construct the peaker facilities in illinois , indiana and tennessee . enron bears this tax obligation under the sales agreement pursuant to which we sold the peakers to allegheny ( effectively , this tax liability is a "" pre - acquisition date "" tax liability that we , as the seller , are responsible for ) . typically , the equipment used to construct the peakers would be assessed sales / use tax when purchased by the project company that built the respective peaker and that tax would effectively be passed on to the buyer in a sale such as that to allegheny . the ews tax department structured the acquisition of the respective equipment to either avoid the sales / use tax or to spread the cost of such tax over time ( for example , a sales - leaseback strategy was employed in illinois to spread the cost of the sales / use tax over many years as lease payments are made rather than pay it up front ) . ultimately , we benefitted from this since we did not use as much cash in constructing the peakers and earned more from the disposition of the peakers than we otherwise would have since the counterparty would have ( and we believe did in the specific case of allegheny ) modelled the cost of the peakers as including the full current payment of such sales / use tax . that said , we have requested that a portion of the disposition proceeds from the sale of the peakers be reserved until the applicable statute of limitations related to the types of strategies that were employed to achieve the above described results expires since there is risk that our position could be challenged and , if challenged , there is a risk that we would not prevail . matt is out until may 8 ( he is a recent father of a baby girl ) but upon his return is available with me to discuss this matter with whomever you would like . matt has worked closely with don and others in the generation asset group and has assured me that the suggested reserve is a sound ( not overly conservative nor liberal ) position . best regards . steve .
- - - - - original message - - - - -
from : kitchen , louise
sent : monday , april 30 , 2001 3 : 18 pm
to : matthew f gockerman / hou / ect @ enron
cc : stephen h douglas / hou / ect @ enron ; don miller / hou / ect @ enron
subject : tax reserve on allegheny peakers
i notice that our gain has substantially decreased due to a tax reserve increase of $ 5 m . why has this been added and why so recently ?
regards
louise",ham
"corporate image can say a lot of things about your
company . contemporary rhythm of life is too dynamic . sometimes it takes oniy
several seconds for
your company to be remembered or to be lost among competitors .
get your loqo , business stationery or website done
right now !
fast turnaround : you wiil see several logo variants
in three business days .
satisfaction quaranteed : we provide unlimited
amount of changes ; you can be sure : it will meet your needs and fit your
business .
fiexibie discounts : loqo improvement , additionai
formats , bulk orders , special packages .
creative design for
competitive price : have a look at it right now !",spam
"spur - m is the only site to offer an all natural male enhancement formula that is proven to increase your volume by up to 500 % .
our highly potent , volume enhancing formula will give our results in days and comes with an impressive 100 % guarantee .
imagine the difference ( look and feel ) between dribbling your cum compared to shooting out burst after burst .
try spur - m now ! and with our money back guarantee you have absolutely nothing to lose !
http : / / lipase . net / spur / ? aa",spam
"if possible , can we reschedule our meeting from wednesday ( 10 / 4 ) to tomorrow
at lpm since i have completed tw invoice review this afternoon . i am hoping
to possibly take wednesday off if i can shift my meetings . let me know if
there ' s a conflict .
thanks ,
elizabeth
x 3 - 6928",ham
