CATID,Sepal_length,Sepal_width,Petal_length,Petal_width,Stem_length,Species
irisID_86,5,2,3.5,1,12.8,Versicolor
irisID_94,6.2,2.2,4.5,1.5,5.6,Versicolor
irisID_88,6,2.2,4,1,11.8,Versicolor
irisID_145,6,2.2,5,1.5,11.3,Virginica
irisID_119,5,2.3,3.3,1,5.6,Versicolor
irisID_79,5.5,2.3,4,1.3,,Versicolor
irisID_113,6.3,2.3,4.4,1.3,12.4,Versicolor
irisID_67,4.5,2.3,1.3,0.3,,Setosa
irisID_83,4.9,2.4,3.3,1,6.1,Versicolor
irisID_106,5.5,2.4,3.8,1.1,14.4,Versicolor
irisID_107,5.5,2.4,3.7,1,,Versicolor
irisID_139,5.7,2.5,5,2,,Virginica
irisID_124,5.1,2.5,3,1.1,,Versicolor
irisID_115,5.5,2.5,4,1.3,,Versicolor
irisID_132,4.9,2.5,4.5,1.7,,Virginica
irisID_134,6.7,2.5,5.8,1.8,,Virginica
irisID_98,6.3,2.5,4.9,1.5,,Versicolor
irisID_19,,2.5,5.2,,,Virginica
irisID_172,6.3,2.5,5,1.9,,Virginica
irisID_95,5.6,2.5,3.9,1.1,,Versicolor
irisID_160,6.1,2.6,5.6,1.4,,Virginica
irisID_116,5.5,2.6,4.4,1.2,,Versicolor
irisID_116,5.5,2.6,4.4,1.2,,Versicolor
irisID_118,5.8,2.6,4,1.2,,Versicolor
irisID_14,,2.6,,,,Setosa
irisID_144,7.7,2.6,6.9,2.3,,Virginica
irisID_105,5.7,2.6,3.5,1,,Versicolor
irisID_109,6,2.7,5.1,1.6,,Versicolor
irisID_85,5.2,2.7,3.9,1.4,,Versicolor
irisID_120,5.6,2.7,4.2,1.3,,Versicolor
irisID_127,5.8,2.7,5.1,1.9,,Virginica
irisID_108,5.8,2.7,3.9,1.2,,Versicolor
irisID_93,5.8,2.7,4.1,1,,Versicolor
irisID_137,6.4,2.7,5.3,1.9,,Virginica
irisID_4,5.8,27.3,3.9,16,,Versicolor
irisID_168,5.8,2.7,5.1,1.9,,Virginica
irisID_149,6.3,2.7,4.9,1.8,,Virginica
irisID_97,6.1,2.8,4,1.3,,Versicolor
irisID_81,5.7,2.8,4.5,1.3,,Versicolor
irisID_80,6.5,2.8,4.6,1.5,,Versicolor
irisID_99,6.1,2.8,4.7,1.2,,Versicolor
irisID_102,6.8,2.8,4.8,1.4,,Versicolor
irisID_159,6.3,2.8,5.1,1.5,,Virginica
irisID_158,6.4,2.8,5.6,2.2,,Virginica
irisID_156,7.4,2.8,6.1,1.9,,Virginica
irisID_154,6.4,2.8,5.6,2.1,,Virginica
irisID_152,6.2,2.8,4.8,1.8,,Virginica
irisID_125,5.7,2.8,4.1,1.3,,Versicolor
irisID_148,7.7,2.8,6.7,2,,Virginica
irisID_147,5.6,2.8,4.9,2,,Virginica
irisID_140,5.8,2.8,5.1,2.4,,Virginica
irisID_34,4.4,2.9,1.4,0.2,,Setosa
irisID_89,6.1,2.9,4.7,1.4,,Versicolor
irisID_84,6.6,2.9,4.6,1.3,,Versicolor
irisID_129,6.3,2.9,5.6,1.8,,Virginica
irisID_23,7.6,2.9,5.6,180.1,,Virginica
irisID_90,5.6,2.9,3.6,1.3,,Versicolor
irisID_104,6,2.9,4.5,1.5,,Versicolor
irisID_100,6.4,2.9,4.3,1.3,,Versicolor
irisID_100,6.4,2.9,4.3,1.3,,Versicolor
irisID_122,5.7,2.9,4.2,1.3,,Versicolor
irisID_133,7.3,2.9,6.3,1.8,,Virginica
irisID_123,6.2,2.9,4.3,1.3,,Versicolor
irisID_114,5.6,3,4.1,1.3,,Versicolor
irisID_131,7.6,3,6.6,2.1,,Virginica
irisID_173,6.5,3,5.2,2,,Virginica
irisID_171,6.7,3,5.2,2.3,,Virginica
irisID_130,6.5,3,5.8,2.2,,Virginica
irisID_110,5.4,3,4.5,1.5,,Versicolor
irisID_164,6,3,4.8,1.8,,Virginica
irisID_128,7.1,3,5.9,2.1,,Virginica
irisID_138,6.8,3,5.5,2.1,,Virginica
irisID_161,7.7,3,6.1,2.3,,Virginica
irisID_142,6.5,3,5.5,1.8,,Virginica
irisID_117,6.1,3,4.6,1.4,,Versicolor
irisID_101,6.6,3,4.4,1.4,,Versicolor
irisID_121,5.7,3,4.2,1.2,,Versicolor
irisID_121,5.7,3,4.2,1.2,,Versicolor
irisID_103,6.7,3,5,1.7,,Versicolor
irisID_153,6.1,3,4.9,1.8,,Virginica
irisID_155,7.2,3,5.8,1.6,,Virginica
irisID_175,5.9,3,5.1,1.8,,Virginica
irisID_92,5.6,3,4.5,1.5,,Versicolor
irisID_87,5.9,3,4.2,1.5,,Versicolor
irisID_39,4.3,3,1.1,0.1,,Setosa
irisID_38,4.8,3,1.4,0.1,,Setosa
irisID_64,4.4,3,1.3,0.2,,Setosa
irisID_51,5,3,1.6,0.2,,Setosa
irisID_27,4.9,3,1.4,0.2,,Setosa
irisID_71,4.8,3,1.4,0.3,,Setosa
irisID_91,6.7,3.1,4.4,1.4,,Versicolor
irisID_112,6.7,3.1,4.7,1.5,,Versicolor
